name,year,city,Country,cuisine
SENNS.Restaurant,2020,Salzburg,Austria,Creative
Ikarus,2020,Salzburg,Austria,Creative
Mraz & Sohn,2020,Wien,Austria,Creative
Konstantin Filippou,2020,Wien,Austria,Modern cuisine
Silvio Nickol Gourmet Restaurant,2020,Wien,Austria,Modern cuisine
Steirereck im Stadtpark,2020,Wien,Austria,Creative
KOKS,2020,Leynar,Denmark,Creative
Henne Kirkeby Kro,2020,Henne,Denmark,Classic cuisine
a‚o‚c,2020,København,Denmark,Modern cuisine
noma,2020,København,Denmark,Creative
Kadeau Copenhagen,2020,København,Denmark,Modern cuisine
Spondi,2020,Athína,Greece,French
Onyx,2020,Budapest,Hungary,Modern cuisine
Feng Wei Ju,2020,Macau,Macau,Hunanese and Sichuan
Golden Flower,2020,Macau,Macau,Chinese
Mizumi (Macau),2020,Macau,Macau,Japanese
The Tasting Room,2020,Macau,Macau,French contemporary
Alain Ducasse at Morpheus,2020,Macau,Macau,French contemporary
Wing Lei,,Macau,Macau,Cantonese
Sichaun Moon,,Macau,Macau,Sichuan 
Patrick Guilbaud,2020,City Centre,Ireland,Modern French
Greenhouse,,City Centre,Ireland,Modern cuisine
Aimsir,,Celbridge,Ireland,Modern cuisine
Oro,2020,Rio de Janeiro - 22441,Brazil,creative
Tuju,2020,São Paulo - 05416,Brazil,creative
D.O.M.,2020,São Paulo - 01411,Brazil,creative
Fäviken Magasinet,2020,Järpen,Sweden,Creative
Gastrologik,2020,Stockholm,Sweden,Creative
Oaxen Krog,2020,Stockholm,Sweden,Creative
Vollmers,2020,Malmö,Sweden,Creative
Daniel Berlin,2020,Skåne-Tranås,Sweden,Creative
RAW,2020,Taipei,Taipei,Innovative
Shoun RyuGin,2020,Taipei,Taipei,Japanese contemporary
Taïrroir,2020,Taipei,Taipei,Innovative
Sushi Amamoto,2020,Taipei,Taipei,Sushi
The Guest House,2020,Taipei,Taipei,Sichuan-Huai Yang
Sorn,,Bangkok,Thailand,Thai
R-Haan,,Bangkok,Thailand,Thai
Sühring,2020,Bangkok,Thailand,European contemporary
Mezzaluna,2020,Bangkok,Thailand,Innovative
Le Normandie,2020,Bangkok,Thailand,French contemporary
