,Rating,Restaurant_Name,Location,City,Country
0,1,Mirazur,"Menton, France",Menton, France
1,2,Noma,"Copenhagen, Denmark",Copenhagen, Denmark
2,3,Asador Etxebarri,"Axpe, Spain",Axpe, Spain
3,4,Gaggan,"Bangkok, Thailand",Bangkok, Thailand
4,5,Geranium,"Copenhagen, Denmark",Copenhagen, Denmark
5,6,Central,"Lima, Peru",Lima, Peru
6,7,Mugaritz,"San Sebastián, Spain",San Sebastián, Spain
7,8,Arpège,"Paris, France",Paris, France
8,9,Disfrutar,"Barcelona, Spain",Barcelona, Spain
9,10,Maido,"Lima, Peru",Lima, Peru
10,11,Den,"Tokyo, Japan",Tokyo, Japan
11,12,Pujol,"Mexico City, Mexico",Mexico City, Mexico
12,13,White Rabbit,"Moscow, Russia",Moscow, Russia
13,14,Azurmendi,"Larrabetzu, Spain",Larrabetzu, Spain
14,15,Septime,"Paris, France",Paris, France
15,16,Alain Ducasse au Plaza Athénée,"Paris, France",Paris, France
16,17,Steirereck,"Vienna, Austria",Vienna, Austria
17,18,Odette,Singapore,Singapore,
18,19,Twins Garden,"Moscow, Russia",Moscow, Russia
19,20,Tickets,"Barcelona, Spain",Barcelona, Spain
20,21,Frantzén,"Stockholm, Sweden",Stockholm, Sweden
21,22,Narisawa,"Tokyo, Japan",Tokyo, Japan
22,23,Cosme,"New York, USA",New York, USA
23,24,Quintonil,"Mexico City, Mexico",Mexico City, Mexico
24,25,Alléno Paris au Pavillon Ledoyen,"Paris, France",Paris, France
25,26,Boragó,"Santiago, Chile",Santiago, Chile
26,27,The Clove Club,"London, UK",London, UK
27,28,Blue Hill at Stone Barns,"Pocantico Hills, USA",Pocantico Hills, USA
28,29,Piazza Duomo,"Alba, Italy",Alba, Italy
29,30,Elkano,"Getaria, Spain",Getaria, Spain
30,31,Le Calandre,"Rubano, Italy",Rubano, Italy
31,32,Nerua Guggenheim Bilbao,"Bilbao, Spain",Bilbao, Spain
32,33,Lyle's,"London, UK",London, UK
33,34,Don Julio,"Buenos Aires, Argentina",Buenos Aires, Argentina
34,35,Atelier Crenn,"San Francisco, USA",San Francisco, USA
35,36,Le Bernardin,"New York, USA",New York, USA
36,37,Alinea,"Chicago, USA",Chicago, USA
37,38,Hiša Franko,"Kobarid, Slovenia",Kobarid, Slovenia
38,39,A Casa do Porco,"São Paulo, Brazil",São Paulo, Brazil
39,40,Restaurant Tim Raue,"Berlin, Germany",Berlin, Germany
40,41,The Chairman,"Hong Kong, China",Hong Kong, China
41,42,Belcanto,"Lisbon, Portugal",Lisbon, Portugal
42,43,Hof Van Cleve,"Kruisem, Belgium ",Kruisem, Belgium 
43,44,The Test Kitchen,"Cape Town, South Africa",Cape Town, South Africa
44,45,Sühring,"Bangkok, Thailand",Bangkok, Thailand
45,46,De Librije,"Zwolle, The Netherlands",Zwolle, The Netherlands
46,47,Benu,"San Francisco, USA",San Francisco, USA
47,48,Ultraviolet by Paul Pairet,"Shanghai, China",Shanghai, China
48,49,Leo,"Bogotá, Colombia",Bogotá, Colombia
49,50,Schloss Schauenstein,"Fürstenau, Switzerland",Fürstenau, Switzerland
